Baseline 100%T,,Baseline 0%T,,Stock_nm,Stock_abs,2x_nm,2x_abs,4x_nm,Fluro_UV_4x_abs,6x_nm,6x_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
477.9915466,88.6785202,477.9915466,0.002799944021,477.9915466,2.550802946,477.9915466,1.273373008,477.9915466,0.6371792555,477.9915466,0.4385358393,
477.0010376,88.67705536,477.0010376,0.02479885332,477.0010376,2.476553917,477.0010376,1.219672561,477.0010376,0.6071048975,477.0010376,0.4184547067,
476.0103455,88.63987732,476.0103455,0.01961498708,476.0103455,2.36517787,476.0103455,1.160736322,476.0103455,0.5771108866,476.0103455,0.3984103501,
474.9813538,88.64789581,474.9813538,-0.005596910138,474.9813538,2.257246017,474.9813538,1.100995302,474.9813538,0.5475931168,474.9813538,0.3783399761,
473.9902344,88.59623718,473.9902344,0.008696660399,473.9902344,2.164447069,473.9902344,1.041946769,473.9902344,0.5184551477,473.9902344,0.3583292663,
472.9989014,88.64068604,472.9989014,0.005780513864,472.9989014,2.05994916,472.9989014,0.9876627922,472.9989014,0.4929403663,472.9989014,0.3405486047,
472.0074158,88.59434509,472.0074158,0.02611723542,472.0074158,1.980747104,472.0074158,0.9464003444,472.0074158,0.4715321958,472.0074158,0.3243113458,
471.0157471,88.54232788,471.0157471,0.01949127764,471.0157471,1.906411767,471.0157471,0.907648325,471.0157471,0.4509585202,471.0157471,0.3122831285,
469.9857483,88.43917847,469.9857483,-0.0172930602,469.9857483,1.816476226,469.9857483,0.8707960844,469.9857483,0.4320933521,469.9857483,0.299050808,
468.9936829,88.30280304,468.9936829,0,468.9936829,1.759372115,468.9936829,0.8358975649,468.9936829,0.4148636758,468.9936829,0.2869061232,
468.0014343,88.19685364,468.0014343,0.01453910954,468.0014343,1.6987288,468.0014343,0.8034494519,468.0014343,0.4000143111,468.0014343,0.2765907347,
467.0089111,88.06835938,467.0089111,0.02393235266,467.0089111,1.648900032,467.0089111,0.7807098031,467.0089111,0.3874292672,467.0089111,0.2681303024,
466.0162964,87.98239136,466.0162964,0.002546408447,466.0162964,1.604729176,466.0162964,0.7587845325,466.0162964,0.3765842021,466.0162964,0.2609094977,
464.9852905,87.84976959,464.9852905,0.002507459605,464.9852905,1.561529875,464.9852905,0.7387554646,464.9852905,0.3664612472,464.9852905,0.2538700104,
463.9921875,87.71347046,463.9921875,0.0223824922,463.9921875,1.52524364,463.9921875,0.719696939,463.9921875,0.3565814197,463.9921875,0.2469653487,
462.9989929,87.62012482,462.9989929,0.01992627233,462.9989929,1.483604431,462.9989929,0.7008231878,462.9989929,0.3475258648,462.9989929,0.2409958541,
462.0056458,87.40943909,462.0056458,-0.004962533247,462.0056458,1.444924235,462.0056458,0.681933105,462.0056458,0.3383574784,462.0056458,0.2346094847,
461.0120544,87.34702301,461.0120544,0.018224895,461.0120544,1.411301374,461.0120544,0.6655724645,461.0120544,0.3299873769,461.0120544,0.2293725759,
460.018158,87.23804474,460.018158,0.008126446977,460.018158,1.37196219,460.018158,0.6462988853,460.018158,0.3209720254,460.018158,0.2227924764,
458.9860229,87.12439728,458.9860229,0.01547867898,458.9860229,1.337530494,458.9860229,0.628215313,458.9860229,0.3123139739,458.9860229,0.2177992612,
457.9918213,87.00870514,457.9918213,0.006118079182,457.9918213,1.293921471,457.9918213,0.6105709076,457.9918213,0.3024540246,457.9918213,0.210504815,
456.9974365,86.87462616,456.9974365,-0.01220881939,456.9974365,1.24525249,456.9974365,0.5871061683,456.9974365,0.2906438708,456.9974365,0.2028048933,
456.0029297,86.84062195,456.0029297,0.01016234327,456.0029297,1.202628016,456.0029297,0.5666280985,456.0029297,0.280701071,456.0029297,0.1958260983,
455.0082397,86.73674774,455.0082397,0.00500337733,455.0082397,1.156162262,455.0082397,0.5433107018,455.0082397,0.2691932917,455.0082397,0.1887862682,
454.0132751,86.69619751,454.0132751,-0.008862367831,454.0132751,1.109992981,454.0132751,0.5224190354,454.0132751,0.2585364878,454.0132751,0.1814722419,
453.018219,86.59066772,453.018219,0,453.018219,1.061417818,453.018219,0.4963376522,453.018219,0.2470167279,453.018219,0.1742576212,
451.9846191,86.54870605,451.9846191,-0.002236536006,451.9846191,1.007349849,451.9846191,0.4739122987,451.9846191,0.2352092564,451.9846191,0.1653542817,
450.9891663,86.44287872,450.9891663,-0.008829047903,450.9891663,0.9574739933,450.9891663,0.4487493336,450.9891663,0.2225420773,450.9891663,0.1572623998,
449.9935303,86.35509491,449.9935303,0.01834189333,449.9935303,0.907047987,449.9935303,0.4268120229,449.9935303,0.2108988166,449.9935303,0.1495842189,
448.9976807,86.33008575,448.9976807,0.00465636095,448.9976807,0.8581576347,448.9976807,0.4033118188,448.9976807,0.200006187,448.9976807,0.1423308849,
448.0016479,86.24407959,448.0016479,-0.009015913121,448.0016479,0.8112537265,448.0016479,0.3799463212,448.0016479,0.1881406158,448.0016479,0.1344305128,
447.0054321,86.22425842,447.0054321,0.004113025963,447.0054321,0.7626376748,447.0054321,0.3574704528,447.0054321,0.1768399626,447.0054321,0.1265645474,
