Wavelength (nm),Intensity (a.u.)
502.007782,0.000634410535
502.9932556,0.0005259847385
504.0163879,0.000580492313
505.0014343,0.0002155800757
505.9862366,0.0003222704108
507.0087585,0.0002323369263
507.9931641,0.0001309250802
509.0152283,0.0002727166284
509.9992065,0.0004408546374
510.9830017,0.0001765781926
512.0043945,0.0001829487737
512.9877319,8.231815627E-006
514.008728,0.0001117641077
514.9916382,0.0002582116285
516.0122681,0.000177873022
516.9946899,-3.261619668E-006
518.0147705,4.887545947E-005
518.9968262,0.0001525728148
520.0164795,0.0001337733993
520.9981079,0.000103012484
522.0172729,7.233141514E-005
522.9984741,-0.0001098979119
524.0172119,-6.947237853E-005
524.9979858,0.0001329447987
526.0162354,3.701851165E-005
526.996582,0.0001382789633
528.0144043,0.0001450115087
528.9942627,2.301323548E-005
530.0116577,0.0001356377616
530.9911499,-4.576397987E-005
532.0079956,0.0001549810549
532.9869995,0.0002620191372
534.003418,5.459693784E-005
534.9819946,0.0002332175209
535.9980469,5.021906873E-006
537.0137939,7.360004383E-005
537.9916992,0.0001234159427
539.006897,-6.730346627E-007
539.984436,5.04805721E-005
540.9992065,-6.657360791E-005
542.013855,9.50895701E-005
542.9906006,0.0002456237271
544.0046997,0.0001123596376
545.0185547,-2.712764763E-005
545.9946289,0.000113964983
547.0081177,0.0002256030275
547.9837036,7.11663597E-005
548.9966431,4.400616831E-007
550.0092773,2.127878724E-005
550.9842529,0.0003339797258
551.99646,0.0002038998646
553.0084839,0.0003452748351
553.9827271,0.0001768371585
554.9942017,0.000257097854
556.0054321,0.0001219141341
557.0164795,0.0004056413018
557.9898071,0.0001793232368
559.0003662,-0.000141159122
560.0105591,5.161968875E-005
560.9831543,-2.790417784E-005
561.992981,0.0002704890503
563.0025635,-0.0001472661825
564.0118408,-5.647951184E-005
564.9835205,-5.373594468E-005
565.9923096,0.0004585012503
567.0009155,0.000187843325
568.0092163,-9.240307554E-005
569.0172729,-0.0002734250447
569.987793,0.0001752833778
570.9953003,-0.0001464898669
572.0026855,-2.200251583E-005
573.0097656,-6.222540833E-005
574.0165405,-5.259710088E-005
574.9858398,-2.909485374E-005
575.9921875,5.20080248E-005
576.998291,0.0003135145525
578.0040283,5.120546484E-005
579.0095825,0.0001219659243
580.0149536,0.0001452704601
580.9827881,-5.6272449E-005
581.9876099,0.0001229239715
582.9921265,0.0005198164727
583.99646,-0.0002300653141
585.0004883,-0.0001921349176
586.0042114,0.0002295138547
587.0077515,0.0002633660333
588.0109863,0.0001791937539
589.0140381,0.0002112549846
590.0167847,0.0002773531596
590.9821777,-0.0002252012928
591.984375,-0.0001403828064
592.9863892,0.0001835444127
593.9880981,0.0001473938319
594.989502,0.0005332935252
595.9907837,-7.915207971E-005
596.9916382,-0.0003370080667
597.9923096,-0.0001485600515
598.9927368,-0.0002435186761
599.9929199,-0.0002171807282
600.9927979,-7.371698302E-005
601.9923706,0.000221925322
602.9918213,0.0006800388219
603.9908447,6.415016833E-005
604.9896851,-9.742385737E-005
605.9881592,0.0001513298484
606.9865112,0.0003686690761
607.9844971,-2.588589041E-006
608.9822998,-2.195074558E-005
610.0167236,0.0001045142271
611.013855,0.0005166546325
612.0108032,-8.515648369E-005
613.0075684,0.0003037745191
614.0039673,0.000243810704
615.000061,0.0003570106637
615.9959717,0.0002409875597
616.9915771,-0.0001897544571
617.9868164,-0.0002308414696
618.9818726,-2.645465429E-005
620.0135498,-0.0001662078867
621.0079956,-7.702980656E-005
622.0022583,0.0005633591791
622.9961548,-5.435713319E-005
623.9898682,-0.0002471923945
624.9832764,3.220333747E-005
626.0131836,0.0001163989073
627.0059814,0.0002090795169
627.9985352,0.0003798355465
628.9909058,-0.0001224233711
629.9828491,8.069405885E-005
631.0113525,-6.4503045E-005
632.0028076,0.0006596091553
632.9939575,0.0005688022939
633.9848633,-0.0002065209119
635.012146,0.00066839793
636.0024414,-0.0006323995185
636.9925537,9.190491255E-005
637.9823608,4.73997934E-005
639.0083618,0.0001990828314
639.9976196,0.0002115398675
640.9865112,3.958144953E-005
642.0117188,0.0002641689789
643.0001221,5.853211769E-005
