Wavelength (nm),Intensity (a.u.)
507.9931641,0.4334286153
509.0152283,0.369553566
509.9992065,0.3170863092
510.9830017,0.2721285224
512.0043945,0.2353470623
512.9877319,0.2025618851
514.008728,0.1697632521
514.9916382,0.1422218233
516.0122681,0.1213361397
516.9946899,0.1013614759
518.0147705,0.08706966788
518.9968262,0.07334879041
520.0164795,0.06102692336
520.9981079,0.05129652098
522.0172729,0.04363421351
522.9984741,0.03709021956
524.0172119,0.03125910088
524.9979858,0.02716233209
526.0162354,0.02307633124
526.996582,0.01989757642
528.0144043,0.01797114685
528.9942627,0.01539740805
530.0116577,0.01371414028
530.9911499,0.01224644389
532.0079956,0.01097615249
532.9869995,0.009868977591
534.003418,0.009056058712
534.9819946,0.008451174013
535.9980469,0.007921466604
537.0137939,0.007125023287
537.9916992,0.006840265822
539.006897,0.006444283761
539.984436,0.005959923379
540.9992065,0.005485277623
542.013855,0.0053796703
542.9906006,0.005282158963
544.0046997,0.004980827216
545.0185547,0.004717307165
545.9946289,0.004611363169
547.0081177,0.004632371943
547.9837036,0.004233743995
548.9966431,0.004013234284
550.0092773,0.004013573751
550.9842529,0.004151568748
551.99646,0.003908219282
553.0084839,0.003786047222
553.9827271,0.003590142354
554.9942017,0.003764766036
556.0054321,0.003292564303
557.0164795,0.003507410642
557.9898071,0.003377655288
559.0003662,0.003454178339
560.0105591,0.003645166522
560.9831543,0.003506079782
561.992981,0.00341937202
563.0025635,0.003443715163
564.0118408,0.003161491128
564.9835205,0.002856337233
565.9923096,0.003269559704
567.0009155,0.002961280523
568.0092163,0.003103868803
569.0172729,0.003187280148
569.987793,0.00302076037
570.9953003,0.003200866282
572.0026855,0.002868088894
573.0097656,0.003111768747
574.0165405,0.003112655133
574.9858398,0.002780857263
575.9921875,0.002779346192
576.998291,0.002690387191
578.0040283,0.002615274629
579.0095825,0.003134399885
580.0149536,0.002871398116
580.9827881,0.001990110148
581.9876099,0.002467691898
582.9921265,0.002229602775
583.99646,0.002644807566
585.0004883,0.00274745957
