Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
593.9880981,91.66133118,593.9880981,-0.00655737659,593.9880981,0.0001473938319,
592.9863892,91.7640686,592.9863892,0.05417704955,592.9863892,0.0001835444127,
591.984375,91.69348145,591.984375,0,591.984375,-0.0001403828064,
590.9821777,91.74829102,590.9821777,0.006829667836,590.9821777,-0.0002252012928,
590.0167847,91.8265686,590.0167847,-0.01027960517,590.0167847,0.0002773531596,
589.0140381,91.80017853,589.0140381,0.05038460344,589.0140381,0.0002112549846,
588.0109863,91.87543488,588.0109863,0.04888438806,588.0109863,0.0001791937539,
587.0077515,91.84247589,587.0077515,0.0352621749,587.0077515,0.0002633660333,
586.0042114,91.87862396,586.0042114,0.04003348202,586.0042114,0.0002295138547,
585.0004883,91.83718109,585.0004883,-0.02480774187,585.0004883,-0.0001921349176,
583.99646,91.88375854,583.99646,0.01454228163,583.99646,-0.0002300653141,
582.9921265,91.97969818,582.9921265,0.03024803288,582.9921265,0.0005198164727,
581.9876099,91.98767853,581.9876099,-0.01090988424,581.9876099,0.0001229239715,
580.9827881,91.9744339,580.9827881,0.003467045724,580.9827881,-5.6272449E-005,
580.0149536,92.01000977,580.0149536,-0.04435951635,580.0149536,0.0001452704601,
579.0095825,92.09500885,579.0095825,-0.02343566902,579.0095825,0.0001219659243,
578.0040283,92.05178833,578.0040283,0.006387531292,578.0040283,5.120546484E-005,
576.998291,92.1397171,576.998291,0.02940484509,576.998291,0.0003135145525,
575.9921875,92.12911224,575.9921875,0.01349491253,575.9921875,5.20080248E-005,
574.9858398,92.16512299,574.9858398,0.002531517297,574.9858398,-2.909485374E-005,
574.0165405,92.16827393,574.0165405,0.01677369885,574.0165405,-5.259710088E-005,
573.0097656,92.20719147,573.0097656,0.004900279455,573.0097656,-6.222540833E-005,
572.0026855,92.22106934,572.0026855,0.03136686981,572.0026855,-2.200251583E-005,
570.9953003,92.30697632,570.9953003,0.01671402343,570.9953003,-0.0001464898669,
569.987793,92.32718658,569.987793,-0.01616640575,569.987793,0.0001752833778,
569.0172729,92.31580353,569.0172729,-0.02229219489,569.0172729,-0.0002734250447,
568.0092163,92.34336853,568.0092163,0.03540305048,568.0092163,-9.240307554E-005,
567.0009155,92.3839798,567.0009155,0,567.0009155,0.000187843325,
565.9923096,92.50274658,565.9923096,0.03937976807,565.9923096,0.0004585012503,
564.9835205,92.4287262,564.9835205,0.002475431422,564.9835205,-5.373594468E-005,
564.0118408,92.46746826,564.0118408,-0.02375046164,564.0118408,-5.647951184E-005,
563.0025635,92.50118256,563.0025635,-0.0169219058,563.0025635,-0.0001472661825,
