Wavelength (nm),Average Intensity
419.0,-2.1421183134886643
420.0,-2.13298583
421.0,-1.9808179769784424
422.0,-2.1334300628295857
423.0,-2.2586462001400522
424.0,-2.4287730240575027
425.0,-2.541738987
426.0,-2.0616287839202836
427.0,-2.151024177997972
428.0,-2.0607501611758425
429.0,-2.0762770916689495
430.0,-2.251460075
431.0,-2.264074696014237
432.0,-2.0366424279160897
433.0,-2.1050270940767795
434.0,-2.519295323412035
435.0,-2.362679005
436.0,-2.4732604912222356
437.0,-2.7573364094663595
438.0,-2.486771716122675
439.0,-2.4979796065710214
440.0,-2.77901125
441.0,-2.0864963773247993
442.0,-2.2413852480928464
443.0,-2.5230891383373373
444.0,-2.438883063303203
445.0,-2.576643944
446.0,-2.216499043671915
447.0,-2.8268381769848396
448.0,-2.6020254743051443
449.0,-2.7214498729680305
450.0,-2.677854776
451.0,-2.664194420339445
452.0,-2.6939139347113996
453.0,-2.691658422409576
454.0,-2.076172425590424
455.0,-2.564516235314839
456.0,-2.7123374287126865
457.0,-2.390377807417236
458.0,-2.3884664238074795
459.0,-2.694776771642598
460.0,-2.494651794
461.0,-2.269149368334125
462.0,-2.318018442398947
463.0,-2.2629436807594696
464.0,-2.7750829541608746
465.0,-2.731359959
466.0,-2.720141214731145
467.0,-2.8526742239679925
468.0,-2.807717476476643
469.0,-2.7176374953936544
470.0,-2.67594862
471.0,-2.6174370520656995
472.0,-2.603472418946258
473.0,-2.555346008707205
474.0,-2.836142782292795
475.0,-2.412039513630596
476.0,-2.530628714688021
477.0,-2.744881341060541
478.0,-2.8751536859867963
479.0,-2.550892348025469
480.0,-2.756492615
481.0,-2.958403918384088
482.0,-2.965906870494282
483.0,-2.685705675605234
484.0,-2.864484385161821
485.0,-2.897690296
486.0,-2.5860708847862313
487.0,-2.7614051797070025
488.0,-2.570393762308259
489.0,-2.6538226508099316
490.0,-2.753641367
491.0,-2.392400970407087
492.0,-2.628775153620279
493.0,-2.346697207836348
494.0,-2.387339953163652
495.0,-2.61146605542583
496.0,-2.617642583862337
497.0,-2.4669541184015658
498.0,-2.659778010395537
499.0,-2.632627476160138
500.0,-2.781150579
501.0,-3.0118257763661753
502.0,-2.7510712644350717
503.0,-2.499978294816364
504.0,-2.5767192931836362
505.0,-2.6339337711574977
506.0,-2.789139886939462
507.0,-2.973258716341456
508.0,-2.792704306469285
509.0,-2.793105767324499
