Wavelength (nm),Average Intensity
375.0,212.9349080516724
376.0,215.54462686666668
377.0,205.58277333538686
378.0,202.17001343333334
379.0,195.20919151495318
380.0,194.58214823333333
381.0,188.82729727895367
382.0,185.73761158878983
383.0,181.69887537331408
384.0,177.0839018089721
385.0,170.86635843333337
386.0,169.01186436026492
387.0,163.9057162806516
388.0,161.4492011397424
389.0,157.5542449715732
390.0,150.9480235
391.0,149.0182133949661
392.0,143.92901103333335
393.0,140.3577182019666
394.0,136.08081563333334
395.0,133.93778324467578
396.0,128.94209293333333
397.0,127.59332973642178
398.0,122.49773406666667
399.0,118.0329977045876
400.0,116.71805316666666
401.0,112.17428982858604
402.0,110.23421951081032
403.0,105.70382082412216
404.0,102.41808856518303
405.0,99.56950123
406.0,97.88308933623718
407.0,94.35393170984112
408.0,92.94518431469095
409.0,89.06869332386115
410.0,84.40955607
411.0,81.7062803267341
412.0,79.25733404505543
413.0,76.19337584589171
414.0,75.59430184480219
415.0,71.97627512666666
416.0,68.51263252973996
417.0,68.32939203992724
418.0,66.5659919272987
419.0,63.575785443108735
420.0,60.44780731
421.0,58.069834812703725
422.0,57.107520184881245
423.0,54.260368409997675
424.0,52.681111890968246
425.0,49.94618988
426.0,49.32569317635964
427.0,46.496838850787036
428.0,43.88375340112075
429.0,43.00254530769456
430.0,40.855234779999996
431.0,40.45918913486519
432.0,38.809384027929234
433.0,38.52707696641042
434.0,35.464348341042914
435.0,35.130259196666664
436.0,34.88456334792134
437.0,33.08506556339288
438.0,32.25649163684117
439.0,30.144631537162468
440.0,29.73902384333333
441.0,29.36214469756922
442.0,26.83078156127944
443.0,27.71478349285506
444.0,26.90166203943474
445.0,26.334364573333335
446.0,25.388061399313543
447.0,24.527593089878845
448.0,23.92091775535853
449.0,24.098963296022518
450.0,22.834412256666667
451.0,23.100172219205433
452.0,21.92835076432858
453.0,21.91430865543722
454.0,21.59653398456278
455.0,19.72885557569136
456.0,19.64182211002037
457.0,18.342206459406157
458.0,18.53898790227319
459.0,17.672633089854525
460.0,16.813205720000003
461.0,16.624937985557327
462.0,17.72242759347165
463.0,15.865467617591088
464.0,15.885446746573905
465.0,15.861428583333334
466.0,15.121061042249574
467.0,14.376323449904305
468.0,14.093692256640479
469.0,12.812173374487394
470.0,13.277465819999998
471.0,12.57226885606493
472.0,12.287527706693476
473.0,12.028946589625216
474.0,11.712551720374783
475.0,11.050017273579334
476.0,10.822107363570817
477.0,10.69201197878265
478.0,11.074339857840618
479.0,9.446230123498568
480.0,9.634547869666667
481.0,9.501507002089857
482.0,8.482438478494531
483.0,7.851027499024259
484.0,8.883035159811397
485.0,8.307740847333333
486.0,8.062488846448295
487.0,7.939794742337958
488.0,7.836491127804983
489.0,7.652563451823846
490.0,7.478840828
491.0,7.121097285198826
