Wavelength (nm),Average Intensity
395.0,13.451042267538153
396.0,13.30603266
397.0,12.48077220616944
398.0,11.75370693
399.0,11.124684576601094
400.0,10.541953085
401.0,9.383541615011737
402.0,9.407199369192693
403.0,7.887818042541912
404.0,7.184825599923148
405.0,7.1647520065000005
406.0,7.297492075911482
407.0,6.512881961847888
408.0,6.567956054800339
409.0,6.177753111793694
410.0,5.456273556
411.0,5.846797999640259
412.0,4.826742739983109
413.0,4.214318217271901
414.0,4.480666211870625
415.0,3.8901588915
416.0,3.8505788438659287
417.0,3.60632991550959
418.0,3.109833296280911
419.0,3.8007607763842914
420.0,3.0850794315
421.0,2.662206461787606
422.0,1.968678999846336
423.0,2.42463782975339
424.0,2.7081949035014787
425.0,2.606505394
426.0,1.959640642136395
427.0,1.8318190065784594
428.0,1.6080349501519255
429.0,1.7274543385906638
430.0,1.924747765
431.0,1.1735849949144646
432.0,1.2834311284397653
433.0,0.9909019393865652
434.0,1.3530715565065299
435.0,1.1064530611
436.0,0.6031868512047955
437.0,0.8277794645117292
438.0,0.9198474016183278
439.0,0.7553090021864877
440.0,0.5758907199000001
441.0,0.4339928822067791
442.0,0.4148351610749784
443.0,0.7607578268829639
444.0,0.6584321450782938
445.0,0.41929286715
446.0,0.4803715156771302
447.0,0.0746649020800786
448.0,0.4440416127810291
449.0,-0.03597002708605268
450.0,-0.0335834622
451.0,-0.050359797451106164
452.0,0.3260434617937831
453.0,0.24497801834614324
454.0,0.05790468281885673
455.0,-0.19839276148592194
456.0,0.047960976162064635
457.0,-0.18901937198314145
458.0,0.06797977193710285
459.0,-0.027381579912065034
460.0,-0.138824373465
461.0,0.16436751264399482
462.0,-0.24198421533278505
463.0,-0.2515680197189796
464.0,-0.19635276794573442
465.0,-0.2251428962
466.0,-0.5006413894513122
467.0,-0.21527190573972463
468.0,-0.2396804261722491
469.0,-0.24936434835361665
470.0,-0.39174076915
471.0,-0.3634578513180784
472.0,-0.5057093989444038
473.0,-0.4469154989519236
474.0,-0.2624430441980764
475.0,-0.3733274901681045
476.0,-0.37992764727017697
477.0,-0.5580159698090543
478.0,-0.6227776521796192
479.0,-0.6206139446295089
480.0,-0.55900013445
481.0,-0.44125505318754904
482.0,-0.48671513291173985
483.0,-0.6505355988562267
484.0,-0.5073990445759144
485.0,-0.66992640495
486.0,-0.6171736163587793
487.0,-0.577716676858929
488.0,-0.43239190734567245
489.0,-0.469480004980673
490.0,-0.50555148725
491.0,-0.7737133719845961
492.0,-0.42273374245925055
493.0,-0.5222296970998881
494.0,-0.5513981622501118
495.0,-0.6964422601552513
496.0,-0.5812771758658809
497.0,-0.5102369931212358
498.0,-0.5359585836062661
499.0,-0.7496439774747827
500.0,-0.6156342626
501.0,-0.5734475860487986
502.0,-0.70225365686601
503.0,-0.5988043404891077
504.0,-0.8852199160108923
505.0,-0.8410758370526953
506.0,-0.6842931570904334
507.0,-0.7152423264049957
508.0,-0.6273222381332084
509.0,-0.7054155559595592
510.0,-0.5583143234500001
511.0,-0.5842166484750735
512.0,-0.6767486464180988
513.0,-0.6095841138404443
514.0,-0.7581085606093206
515.0,-0.8017741441999999
516.0,-0.7437357860117491
517.0,-0.7466949942042178
518.0,-0.75030072989577
519.0,-0.7907237865452369
520.0,-0.72641211745
521.0,-0.7888409358961583
522.0,-0.7461232215204088
523.0,-0.7169918174383152
524.0,-0.7634369378616848
525.0,-0.7586299854450782
526.0,-0.783637988155451
527.0,-0.8138068051258882
528.0,-0.8225686178386579
529.0,-0.5936465765259042
530.0,-0.7584910691
531.0,-0.8197971472574215
532.0,-0.7434656880876354
533.0,-0.7150932444212179
534.0,-0.8650042222787822
535.0,-0.7685148151298584
536.0,-0.8520545152262111
537.0,-0.8518027236829893
538.0,-0.7205301271662752
539.0,-0.8515828264703017
540.0,-0.6511616111
541.0,-0.832268731846223
542.0,-0.8679470544746052
543.0,-0.836625993883295
544.0,-0.6865901223712167
545.0,-0.7767897248
546.0,-0.665325998420258
547.0,-0.9534864389106548
548.0,-0.8119926202322498
549.0,-0.7238822027003302
550.0,-0.8542712927
551.0,-0.8573837643733357
552.0,-0.787085915816076
553.0,-0.7616845775761194
554.0,-1.0078666943450663
555.0,-0.74982839825
556.0,-0.827520106496755
557.0,-0.8091536664790084
558.0,-0.5893470454378796
559.0,-0.8033636689686263
560.0,-0.77189394835
561.0,-0.8301143893317662
562.0,-0.6306209938639589
563.0,-0.7373911027035025
564.0,-0.7602296613087154
565.0,-0.5940567255
566.0,-0.5221949120248647
567.0,-0.44082347038685077
568.0,-0.002056306172022182
569.0,0.24739833559464683
570.0,0.76769632105
571.0,0.8095854892472751
572.0,1.752355167006122
573.0,1.7781779792876482
574.0,1.8011165916281104
575.0,2.1927540299999997
576.0,2.1022665010851105
577.0,2.477166508674781
578.0,1.6850765131382457
579.0,1.3347656407643096
580.0,1.1431360245
581.0,1.051788189607708
582.0,0.8074144041549973
583.0,0.5080902159319064
584.0,0.09551324484786473
585.0,-0.34073541332681034
586.0,-0.48240211759515506
587.0,-0.6948973164623142
588.0,-0.9006876499771421
589.0,-0.7254122379488658
590.0,-0.68039146065
591.0,-0.780454584982428
592.0,-0.7619051187218857
593.0,-0.7414919878196657
594.0,-0.9142751471048295
595.0,-0.90541785955
596.0,-0.7210769564594199
597.0,-0.9326809357234196
598.0,-0.8815609857936162
599.0,-0.8036454586668066
600.0,-0.7167521417
601.0,-0.9394549166136615
602.0,-0.9038279281218011
603.0,-0.9349480442795972
604.0,-0.7852866097354707
605.0,-0.9588227598909763
606.0,-0.8112126204205029
607.0,-0.7590572282742505
608.0,-0.803538855383637
609.0,-0.8466410771527435
