SetA.run3,,
Time (sec),Abs,
194.25,0.0509816967,
194.75,0.05083919689,
195.25,0.05085394904,
195.75,0.05073400959,
196.25,0.05068065599,
196.75,0.05071492493,
197.25,0.05063245445,
197.75,0.0504736118,
198.25,0.05052339286,
198.75,0.05052816123,
199.25,0.05035987869,
199.75,0.05027494952,
200.25,0.05021290481,
200.75,0.05036825314,
201.25,0.05026189983,
201.75,0.05014380813,
202.25,0.05013424903,
202.75,0.05016289651,
203.25,0.04996661469,
203.75,0.04987778142,
204.25,0.04995090142,
204.75,0.05004465953,
205.25,0.04983312637,
205.75,0.04961752146,
206.25,0.04968914762,
206.75,0.04981849343,
207.25,0.04952612147,
207.75,0.04957355931,
208.25,0.04966079071,
208.75,0.04967457801,
209.25,0.04943308607,
209.75,0.0493096225,
210.25,0.04941733554,
210.75,0.04940857738,
211.25,0.04931446537,
211.75,0.04922846332,
212.25,0.04931919277,
212.75,0.04943024367,
213.25,0.04930176586,
213.75,0.04923696071,
214.25,0.04921973869,
214.75,0.04902883619,
215.25,0.04904442653,
215.75,0.04892797023,
216.25,0.04901225865,
216.75,0.04900452122,
217.25,0.04885991663,
217.75,0.04884569347,
218.25,0.04898157343,
218.75,0.04886035249,
219.25,0.0489157699,
219.75,0.04878364876,
220.25,0.04863740876,
220.75,0.04881015047,
221.25,0.04875280336,
221.75,0.04869477078,
222.25,0.04871379584,
222.75,0.04856868088,
223.25,0.04842728749,
223.75,0.04856219515,
224.25,0.04859615117,
224.75,0.04856430739,
225.25,0.04838885739,
225.75,0.04839458689,
226.25,0.04859922081,
226.75,0.04839232937,
227.25,0.04839881137,
227.75,0.04844198748,
228.25,0.04835801199,
228.75,0.04829629883,
229.25,0.0483028926,
229.75,0.04832930863,
230.25,0.04820109531,
230.75,0.04820737243,
231.25,0.04824899882,
231.75,0.0482099168,
232.25,0.04826678708,
232.75,0.04819305614,
233.25,0.04823505506,
233.75,0.04815912992,
234.25,0.04821237549,
234.75,0.04818993062,
235.25,0.04819178209,
235.75,0.04813520983,
236.25,0.04809648916,
236.75,0.04804016277,
237.25,0.04801373556,
237.75,0.04799971357,
238.25,0.04805823416,
238.75,0.04800974578,
239.25,0.0478816852,
239.75,0.04784275591,
240.25,0.04785058647,
240.75,0.04796114564,
241.25,0.04761395231,
241.75,0.04783544317,
242.25,0.04791454971,
242.75,0.04787125066,
243.25,0.047871802,
243.75,0.04782177135,
244.25,0.04764959589,
244.75,0.04777397588,
245.25,0.04788576066,
245.75,0.04776845872,
246.25,0.04755263031,
246.75,0.04769590497,
247.25,0.04780345038,
247.75,0.0476994887,
248.25,0.04777527601,
248.75,0.04770827293,
249.25,0.0475432463,
249.75,0.04760531336,
250.25,0.04767522216,
250.75,0.04766326025,
251.25,0.04751453921,
251.75,0.04761481658,
252.25,0.04753007367,
252.75,0.0476398021,
253.25,0.04745054618,
253.75,0.04750160128,
254.25,0.04754133895,
254.75,0.04745046049,
255.25,0.04741093516,
255.75,0.04758495092,
256.25,0.04739058018,
256.75,0.04755820706,
257.25,0.04723222554,
257.75,0.04746426269,
258.25,0.04735969007,
258.75,0.04723231122,
259.25,0.04740945995,
259.75,0.04728380218,
260.25,0.04731520638,
260.75,0.04747093469,
261.25,0.04729216918,
261.75,0.04734764993,
262.25,0.04746611044,
262.75,0.04741038382,
263.25,0.04728486761,
263.75,0.04740212858,
264.25,0.04749215767,
264.75,0.04728810117,
265.25,0.04740683362,
265.75,0.04724962637,
266.25,0.0472381413,
266.75,0.0471702069,
267.25,0.04718201235,
267.75,0.04729745165,
268.25,0.04727843031,
268.75,0.04728377238,
269.25,0.04715858027,
269.75,0.0472722277,
270.25,0.04732686654,
270.75,0.0471999906,
271.25,0.04735749587,
271.75,0.04719199613,
272.25,0.04722584784,
272.75,0.04711030796,
273.25,0.04706319422,
273.75,0.04724815488,
274.25,0.04731624573,
274.75,0.04722654074,
275.25,0.04708676413,
275.75,0.04720452055,
276.25,0.0472105816,
276.75,0.04710863531,
277.25,0.04708065093,
277.75,0.04719366878,
278.25,0.0472041741,
278.75,0.04706302285,
279.25,0.04706102982,
279.75,0.0471002683,
280.25,0.04711365327,
280.75,0.04713691026,
281.25,0.04712034762,
281.75,0.04688615724,
282.25,0.04701637477,
282.75,0.04707713053,
283.25,0.0470571667,
283.75,0.0471204333,
284.25,0.04698196426,
284.75,0.0470389612,
285.25,0.04712698609,
285.75,0.04697884992,
286.25,0.046825286,
286.75,0.04703593254,
287.25,0.04690077901,
287.75,0.04701308906,
288.25,0.04707008973,
288.75,0.04684235528,
289.25,0.04712135717,
289.75,0.04705208912,
290.25,0.04709461331,
290.75,0.04698432982,
291.25,0.04699863493,
291.75,0.04700737819,
292.25,0.04706455022,
292.75,0.04703330994,
293.25,0.04701871425,
293.75,0.04683180153,
294.25,0.04700342566,
294.75,0.04701871425,
295.25,0.04677572474,
295.75,0.04678102955,
296.25,0.04697931185,
296.75,0.04681167752,
297.25,0.04701796174,
297.75,0.04691678286,
298.25,0.04701054841,
298.75,0.0468756333,
299.25,0.04689054191,
299.75,0.04700008035,
300.25,0.04685686156,
300.75,0.04710205644,
