T1,,
Time (min),Abs,
0.4341666698,0.2157401443,
0.4358333349,0.2146639526,
0.4375,0.213496089,
0.4391666651,0.2126713544,
0.4408333302,0.2117204964,
0.4424999952,0.2106157541,
0.4441666603,0.2094444484,
0.4458333552,0.2089583576,
0.4474999905,0.2077264786,
0.4491666555,0.2068211287,
0.4508333206,0.2058511227,
0.4525000155,0.2050297558,
0.4541666806,0.2035480887,
0.4558333158,0.2025102973,
0.4574999809,0.2015744448,
0.4591666758,0.2008223981,
0.4608333409,0.199963972,
0.462500006,0.1988452673,
0.4641666412,0.1978734583,
0.4658333361,0.1970489919,
0.4675000012,0.1961163133,
0.4691666663,0.1948758811,
0.4708333313,0.1941767633,
0.4724999964,0.1932854205,
0.4741666615,0.1922552139,
0.4758333266,0.1912924051,
0.4774999917,0.1903687865,
0.4791666865,0.1893735826,
0.4808333218,0.1886446029,
0.4824999869,0.1875612736,
0.484166652,0.1868903637,
0.4858333468,0.1856851876,
0.4875000119,0.1849811524,
0.4891666472,0.1838357449,
0.4908333123,0.1831742823,
0.4925000072,0.1823861301,
0.4941666722,0.1814034879,
0.4958333373,0.1802562624,
0.4974999726,0.1798322052,
0.4991666675,0.1786203086,
0.5008333325,0.177740097,
0.5024999976,0.1771688461,
0.5041666627,0.1760631353,
0.5058333278,0.1752221882,
0.5074999928,0.1741893739,
0.5091666579,0.1738669723,
0.510833323,0.1726781577,
0.5124999881,0.1720167249,
0.5141666532,0.1711254865,
0.5158333182,0.1700209826,
0.5174999833,0.1695252657,
0.5191666484,0.1685352772,
0.5208333731,0.1678004563,
0.5224999785,0.1667571962,
0.5241666436,0.166066274,
0.5258333087,0.1654020548,
0.5275000334,0.1646835953,
0.5291666985,0.1637122333,
0.5308333039,0.1627367139,
0.532499969,0.1622335017,
0.5341666937,0.1612654924,
0.5358332992,0.1606898159,
0.5375000238,0.1597779691,
0.5391666293,0.1588294953,
0.540833354,0.1582641155,
0.5425000191,0.1576127261,
0.5441666245,0.1565558612,
0.5458333492,0.1559226364,
0.5475000143,0.155026421,
0.5491666794,0.1543751806,
0.5508333445,0.1539815813,
0.5524999499,0.1527472436,
0.5541666746,0.152243346,
0.5558333397,0.1512985826,
0.5575000048,0.1505073905,
0.5591666698,0.1499647945,
0.5608333349,0.1491525769,
0.5625,0.1485257298,
0.5641666651,0.1478336155,
0.5658333302,0.1470173299,
0.5674999952,0.1460014135,
0.5691666603,0.1453967988,
0.5708333254,0.144651711,
0.5724999905,0.1439199746,
0.5741667151,0.14335455,
0.5758333206,0.1425580531,
0.5774999857,0.1418174654,
0.5791666508,0.1412671953,
0.5808333158,0.1404191554,
0.5825000405,0.1398114264,
0.584166646,0.1392022669,
0.5858333111,0.1385065466,
0.5875000358,0.1377224773,
0.5891666412,0.1371487975,
0.5908333659,0.1366629153,
0.5924999714,0.1357749701,
0.5941666365,0.1351780891,
0.5958333611,0.1342661232,
0.5974999666,0.1338657439,
0.5991666913,0.1331089884,
0.6008333564,0.1323209852,
0.6024999619,0.1317064613,
0.6041666865,0.131000787,
0.605833292,0.1305328161,
0.6075000167,0.1297375262,
0.6091666818,0.1294350326,
0.6108332872,0.1287652403,
0.6125000119,0.1280522943,
0.614166677,0.1272671521,
0.6158333421,0.1265477836,
0.6175000072,0.1260689348,
0.6191666126,0.12551561,
0.6208333373,0.1250619441,
0.6225000024,0.1242587119,
0.6241666675,0.1238843873,
0.6258333325,0.1231394559,
0.6274999976,0.1223856509,
0.6291666627,0.1218828186,
0.6308333278,0.1213349774,
0.6325000525,0.1207318977,
0.6341666579,0.1200122759,
0.635833323,0.1194211543,
0.6374999881,0.1190800518,
0.6391666532,0.1182394773,
0.6408333778,0.1176228598,
0.6424999833,0.1171434745,
0.6441666484,0.116574049,
0.6458333731,0.1160423234,
0.6474999785,0.1155636683,
0.6491667032,0.1148993,
0.6508333087,0.1143139079,
0.6524999738,0.1135957614,
0.6541666985,0.1130934581,
0.6558333039,0.1124875918,
0.6575000286,0.1120961979,
0.6591666937,0.1115224361,
0.6608332992,0.1108385175,
0.6625000238,0.1101718247,
0.6641666293,0.1100510061,
0.665833354,0.109239623,
0.6675000191,0.1086174995,
0.6691666245,0.1080693528,
0.6708333492,0.1077547371,
0.6725000143,0.1070820615,
0.6741666794,0.1066928878,
0.6758333445,0.1062183753,
0.6774999499,0.1056089029,
0.6791666746,0.1053679511,
0.6808333397,0.104460679,
0.6825000048,0.104125008,
0.6841666698,0.1036779657,
0.6858333349,0.1031913012,
0.6875,0.102530174,
0.6891666651,0.1020637527,
0.6908333302,0.1016026363,
0.6924999952,0.1010219157,
0.6941666603,0.1004252061,
0.6958333254,0.1001931056,
0.6974999905,0.09941411018,
0.6991667151,0.0992634818,
0.7008333206,0.09857750684,
0.7024999857,0.09819276631,
0.7041666508,0.09761282802,
0.7058333158,0.0972802043,
0.7075000405,0.09667619318,
0.709166646,0.09613735229,
0.7108333111,0.0958243832,
0.7125000358,0.09548138082,
0.7141666412,0.09478985518,
0.7158333659,0.09442277253,
0.7174999714,0.09412376583,
0.7191666365,0.09351298213,
0.7208333611,0.09290183336,
0.7224999666,0.0926790759,
0.7241666913,0.09235116839,
0.7258333564,0.09158734232,
0.7274999619,0.09136004001,
0.7291666865,0.09066040069,
0.730833292,0.09032773226,
0.7325000167,0.09005214274,
0.7341666818,0.08931583911,
0.7358332872,0.08921378106,
0.7375000119,0.08871590346,
0.739166677,0.08825490624,
0.7408333421,0.08791336417,
0.7425000072,0.08742023259,
0.7441666126,0.08705542982,
0.7458333373,0.08672371507,
0.7475000024,0.08606705815,
0.7491666675,0.08580551296,
0.7508333325,0.08516199142,
0.7524999976,0.08501827717,
0.7541666627,0.08483080566,
0.7558333278,0.08380913734,
0.7575000525,0.0838560462,
0.7591666579,0.08337307721,
0.760833323,0.08297365159,
0.7624999881,0.08250502497,
0.7641666532,0.08225105703,
0.7658333778,0.08167781681,
0.7674999833,0.08115217835,
0.7691666484,0.08088187128,
0.7708333731,0.08083868027,
0.7724999785,0.0804290548,
0.7741667032,0.0798265785,
0.7758333087,0.07943411916,
0.7774999738,0.07914155722,
0.7791666985,0.07862942666,
0.7808333039,0.07820935547,
0.7825000286,0.07788088173,
0.7841666937,0.07764829695,
0.7858332992,0.07714648545,
0.7875000238,0.07685580105,
0.7891666293,0.07656623423,
0.790833354,0.07629870623,
0.7925000191,0.07573065162,
