Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1480;3.843055;3.837443;3.813916;3.840543;3.886317
1490;3.662947;3.677111;3.829230;3.878009;3.758601
1500;3.694205;3.585849;3.722142;3.768627;3.786489
1510;3.672971;3.655008;3.764736;3.757665;3.812278
1520;3.562831;3.669367;3.634797;3.724043;3.633730
1530;3.518996;3.620511;3.527877;3.597735;3.698988
1540;3.469127;3.541357;3.429089;3.538512;3.382256
1550;3.459601;3.505321;3.563286;3.553853;3.641359
1560;3.441820;3.234503;3.520802;3.444630;3.467715
1570;3.316225;3.420078;3.434444;3.470306;3.450240
1580;3.327864;3.434164;3.459226;3.388161;3.531771
1590;3.247711;3.225295;3.433830;3.424626;3.442156
1600;3.218714;3.290058;3.386030;3.505063;3.356625
1610;3.353458;3.438151;3.355218;3.252066;3.360087
1620;3.382241;3.362355;3.129328;3.234567;3.170109
1630;3.315907;3.383975;3.257503;3.154400;3.269794
1640;3.159450;3.073424;3.267860;3.414934;3.443749
1650;3.159992;3.109681;3.130847;3.319397;3.284481
1660;3.175629;3.057678;3.148522;2.989479;3.099653
1670;3.164463;3.240603;3.260017;3.133872;3.116918
1680;3.146305;3.086656;3.058032;3.168181;3.060391
1690;3.151974;3.180929;3.042479;3.090201;3.126419
1700;3.101989;3.159376;3.072039;3.093656;2.883419
1710;3.030129;2.977104;3.162225;3.077646;3.160029
1720;3.015868;2.985892;3.050944;2.995596;3.009012
1730;3.080124;2.840392;3.062976;2.999288;2.982242
1740;3.030334;3.003996;2.819239;2.991796;2.835862
1750;2.898534;2.805509;2.898367;2.982794;2.972279
1760;2.881247;2.919659;2.729595;2.999053;2.786366
1770;2.785327;2.505206;2.672375;2.872345;2.833501
1780;2.886947;2.885378;2.773223;2.793712;2.790658
1790;2.792870;2.780700;3.011232;2.774097;2.831100
1800;2.702210;2.721970;2.801158;2.810659;2.924000
1810;2.772656;2.767529;2.600041;2.666015;2.790151
1820;2.709225;2.732137;2.710852;2.784814;2.622308
1830;2.602391;2.624749;2.738383;2.629816;2.739630
1840;2.744543;2.812999;2.646890;2.686385;2.751555
