Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1060;7.921560;7.880988;8.007360;8.105644;7.922787
1070;7.888785;7.654517;7.734092;7.585931;7.706985
1080;7.739070;7.745731;7.513327;7.700931;7.667495
1090;7.583046;7.774790;7.355693;7.774102;7.675968
1100;7.397343;7.586121;7.555698;7.389625;7.789069
1110;7.488414;7.436002;7.245624;7.368782;7.368388
1120;7.438876;7.570568;7.670706;7.504614;7.543425
1130;7.244911;7.458705;7.401251;7.348984;6.988457
1140;7.193511;7.271605;7.215916;7.336108;7.316131
1150;7.251368;7.104409;7.307047;7.216468;7.113142
1160;7.169084;7.182269;7.103852;6.994477;7.169667
1170;7.188377;7.048553;6.963720;7.222472;7.315257
1180;6.815095;7.233795;6.828825;7.036936;6.783518
1190;7.074705;6.939455;6.622835;7.004221;6.810023
1200;7.037639;6.680602;6.635358;6.835960;6.544620
1210;6.998642;6.769870;6.749511;6.777600;6.737130
1220;6.780254;6.570417;6.954921;6.665852;6.936366
1230;6.482849;6.800508;6.397469;6.717240;6.567268
1240;6.441217;6.654137;6.763001;6.822139;6.659827
1250;6.539939;6.576833;6.409863;6.525895;6.282480
1260;6.353521;6.443686;6.628385;6.423280;6.532968
1270;6.709375;6.573388;6.136771;6.475212;6.382616
1280;6.464546;6.243540;6.142258;6.303428;6.205086
1290;6.379998;6.313418;6.192273;6.303357;6.325354
1300;6.333958;6.311537;6.356149;6.361562;6.134986
1310;6.420240;6.495437;6.171091;6.345526;5.991484
1320;6.261385;5.903094;6.310611;6.147348;5.970144
1330;6.255505;6.323077;6.156610;6.019361;6.474324
1340;6.175174;6.059987;5.899308;6.019100;5.791819
1350;6.082926;5.781396;5.817639;5.903595;5.813841
1360;5.607964;5.896016;5.969457;5.699519;5.963297
1370;5.781425;5.965120;5.863707;5.765676;5.755137
1380;5.936343;5.922519;5.767124;5.456123;5.710187
1390;5.761493;5.651242;5.703004;5.784115;5.926204
1400;5.886833;5.473800;5.509282;5.546892;5.621008
1410;5.592830;5.597882;5.646659;5.454988;5.433440
1420;5.384234;5.429033;5.718854;5.563094;5.715933
1430;5.593503;5.392723;5.588596;5.506627;5.633169
1440;5.391130;5.525235;5.483571;5.624491;5.531673
1450;5.414183;5.368094;5.419695;5.367520;5.224559
1460;5.455665;5.386452;5.413364;5.199293;5.346747
1470;5.289238;5.258074;5.559603;5.306297;5.190227
1480;5.255614;5.309893;5.520949;4.997827;5.274853
1490;5.093240;5.228632;5.410690;5.274946;5.172262
1500;5.274759;5.212079;4.843809;5.180006;5.070620
1510;5.182874;5.059310;5.399590;5.273236;5.164763
1520;5.132536;4.970666;5.166450;5.158648;5.138337
1530;5.054740;5.255119;5.150568;5.145713;5.212291
1540;5.074189;5.172974;5.024591;4.651928;4.900529
1550;4.797351;4.885846;5.053438;4.742831;4.611502
1560;4.861635;5.012079;4.797102;5.268705;4.814100
1570;5.050088;5.059352;4.779387;4.823655;4.826562
1580;4.778451;4.910516;4.728890;4.693684;4.910243
1590;4.796938;4.503612;4.635921;4.375824;4.541752
1600;4.798412;4.683796;4.717932;4.639557;4.658797
1610;4.811848;4.596913;4.627694;4.697102;4.582080
1620;4.765694;4.733769;4.563578;4.687080;4.658599
1630;4.766150;4.412930;4.754671;4.442642;4.758207
1640;4.493322;4.566248;4.799629;4.657943;4.381905
1650;4.499148;4.229958;4.683800;4.388656;4.590622
1660;4.679051;4.632429;4.347683;4.438376;4.254271
1670;4.325619;4.421512;4.778169;4.316964;4.213300
1680;4.256216;4.532872;4.493256;4.252729;4.594514
