MgCl EDTA 21Feb GroupA_X,MgCl EDTA 21Feb GroupA_Y
12.533333,9.80476
12.55,9.80479
12.566667,9.80492
12.583333,9.80466
12.6,9.80473
12.616667,9.80498
12.633333,9.80516
12.65,9.80525
12.666667,9.8052
12.683333,9.80502
12.7,9.80473
12.716667,9.80484
12.733333,9.80504
12.75,9.80532
12.766667,9.80569
12.783333,9.80575
12.8,9.80576
12.816667,9.80573
12.833333,9.80584
12.85,9.80598
12.866667,9.80605
12.883333,9.80596
12.9,9.80591
12.916667,9.80586
12.933333,9.80579
12.95,9.80571
12.966667,9.80563
12.983333,9.80562
13,9.80571
13.016667,9.80572
13.033333,9.80552
13.05,9.80529
13.066667,9.80497
13.083333,9.80457
13.1,9.8043
13.116667,9.80417
13.133333,9.80411
13.15,9.8041
13.166667,9.80391
13.183333,9.80379
13.2,9.80354
13.216667,9.80333
13.233333,9.80304
13.25,9.80278
13.266667,9.80258
13.283333,9.8024
13.3,9.80217
13.316667,9.80188
13.333333,9.8017
13.35,9.80176
13.366667,9.80179
13.383333,9.80189
13.4,9.80184
13.416667,9.80157
13.433333,9.80154
13.45,9.80149
13.466667,9.80192
13.483333,9.80218
13.5,9.80365
13.516667,9.80489
13.533333,9.80577
13.55,9.80658
13.566667,9.81915
13.583333,9.85848
13.6,9.90685
13.616667,9.95761
13.633333,9.99735
13.65,10.01917
13.666667,10.02392
13.683333,10.01979
13.7,10.00878
13.716667,9.99566
13.733333,9.98019
13.75,9.96449
13.766667,9.9523
13.783333,9.93905
13.8,9.92913
13.816667,9.91721
13.833333,9.90595
13.85,9.89304
13.866667,9.88646
13.883333,9.87629
13.9,9.87213
13.916667,9.86197
13.933333,9.85231
13.95,9.84595
13.966667,9.83766
13.983333,9.83582
14,9.83176
14.016667,9.8279
14.033333,9.82443
14.05,9.82084
14.066667,9.81842
14.083333,9.81586
14.1,9.81289
14.116667,9.81008
14.133333,9.80761
14.15,9.80627
14.166667,9.80557
14.183333,9.80444
14.2,9.80383
14.216667,9.80345
14.233333,9.80243
14.25,9.80189
14.266667,9.80127
14.283333,9.80076
14.3,9.80023
14.316667,9.7998
14.333333,9.79963
14.35,9.79931
14.366667,9.79884
14.383333,9.79896
14.4,9.79905
14.416667,9.79921
14.433333,9.79909
14.45,9.79896
14.466667,9.79889
14.483333,9.79892
14.5,9.79874
14.516667,9.7984
14.533333,9.79811
14.55,9.79803
14.566667,9.79827
14.583333,9.79818
14.6,9.79814
