1mM Cacl2 0.1mM EDTA Group B 21723_X,1mM Cacl2 0.1mM EDTA Group B 21723_Y
9.083333,9.72744
9.1,9.73096
9.116667,9.73425
9.133333,9.73677
9.15,9.73979
9.166667,9.74171
9.183333,9.74304
9.2,9.74473
9.216667,9.74722
9.233333,9.749
9.25,9.75007
9.266667,9.75102
9.283333,9.75226
9.3,9.75351
9.316667,9.75476
9.333333,9.75572
9.35,9.75657
9.366667,9.7573
9.383333,9.758
9.4,9.75846
9.416667,9.75841
9.433333,9.75862
9.45,9.7591
9.466667,9.75953
9.483333,9.76018
9.5,9.76076
9.516667,9.76107
9.533333,9.76137
9.55,9.76174
9.566667,9.76194
9.583333,9.76186
9.6,9.76147
9.616667,9.76169
9.633333,9.76224
9.65,9.76258
9.666667,9.76283
9.683333,9.7627
9.7,9.76297
9.716667,9.76333
9.733333,9.76363
9.75,9.76433
9.766667,9.76485
9.783333,9.76515
9.8,9.7652
9.816667,9.76535
9.833333,9.76551
9.85,9.76579
9.866667,9.76582
9.883333,9.76567
9.9,9.76548
9.916667,9.76534
9.933333,9.7653
9.95,9.76522
9.966667,9.76512
9.983333,9.76528
10,9.76561
10.016667,9.76574
10.033333,9.7658
10.05,9.76593
10.066667,9.76602
10.083333,9.76594
10.1,9.76609
10.116667,9.76622
10.133333,9.76619
10.15,9.76595
10.166667,9.7659
10.183333,9.76606
10.2,9.76618
10.216667,9.76623
10.233333,9.76622
10.25,9.76615
10.266667,9.76622
10.283333,9.76644
10.3,9.7664
10.316667,9.76637
10.333333,9.76627
10.35,9.76602
10.366667,9.7656
10.383333,9.76525
10.4,9.76492
10.416667,9.76482
10.433333,9.76455
10.45,9.76443
10.466667,9.76451
10.483333,9.76455
10.5,9.7644
10.516667,9.76407
10.533333,9.76373
10.55,9.76361
10.566667,9.7637
10.583333,9.7639
10.6,9.76392
10.616667,9.7638
10.633333,9.76369
10.65,9.76346
10.666667,9.7634
10.683333,9.76332
10.7,9.76341
10.716667,9.76358
10.733333,9.76369
10.75,9.76386
10.766667,9.76395
10.783333,9.76397
10.8,9.76384
10.816667,9.76356
10.833333,9.76358
10.85,9.7638
10.866667,9.76407
10.883333,9.76396
10.9,9.76396
10.916667,9.76416
10.933333,9.76464
10.95,9.76469
10.966667,9.7644
10.983333,9.76342
11,9.76468
11.016667,9.76588
11.033333,9.76109
11.05,9.70423
11.066667,9.58479
11.083333,9.42371
11.1,9.26121
11.116667,9.1519
11.133333,9.09639
11.15,9.08866
11.166667,9.10971
11.183333,9.14594
11.2,9.19684
11.216667,9.25178
11.233333,9.30326
11.25,9.35121
11.266667,9.3981
11.283333,9.44252
11.3,9.48493
11.316667,9.51605
11.333333,9.53971
11.35,9.56504
11.366667,9.58442
11.383333,9.60531
11.4,9.62637
11.416667,9.64007
11.433333,9.65122
11.45,9.66112
11.466667,9.67235
11.483333,9.6852
11.5,9.69063
11.516667,9.70203
11.533333,9.70939
11.55,9.71163
11.566667,9.72425
11.583333,9.73105
11.6,9.73197
11.616667,9.73075
11.633333,9.73129
11.65,9.73243
11.666667,9.7342
11.683333,9.7363
11.7,9.73833
11.716667,9.73957
11.733333,9.7407
11.75,9.74228
11.766667,9.74413
11.783333,9.74559
11.8,9.74713
11.816667,9.74848
11.833333,9.74973
11.85,9.75109
11.866667,9.7523
11.883333,9.7536
11.9,9.7549
11.916667,9.75588
11.933333,9.75619
11.95,9.75652
11.966667,9.757
11.983333,9.75738
12,9.75765
12.016667,9.75803
12.033333,9.75863
12.05,9.75887
12.066667,9.75878
12.083333,9.75887
12.1,9.75884
12.116667,9.75903
12.133333,9.75893
12.15,9.75891
12.166667,9.75899
12.183333,9.75882
12.2,9.75862
12.216667,9.75851
12.233333,9.75872
12.25,9.75874
12.266667,9.75846
12.283333,9.75812
12.3,9.75812
12.316667,9.75804
12.333333,9.75809
12.35,9.75812
12.366667,9.758
12.383333,9.75807
12.4,9.75822
12.416667,9.75813
12.433333,9.75791
12.45,9.75788
12.466667,9.75804
12.483333,9.75809
12.5,9.75793
12.516667,9.75795
12.533333,9.7582
12.55,9.75823
12.566667,9.75812
12.583333,9.7583
12.6,9.75842
12.616667,9.75844
12.633333,9.75865
12.65,9.75876
12.666667,9.75873
12.683333,9.75845
12.7,9.75816
12.716667,9.7581
12.733333,9.75821
12.75,9.75832
12.766667,9.75836
12.783333,9.75832
12.8,9.75837
12.816667,9.75818
12.833333,9.75831
12.85,9.75847
12.866667,9.7585
12.883333,9.75851
12.9,9.75888
12.916667,9.75943
12.933333,9.75906
12.95,9.75887
12.966667,9.75861
12.983333,9.75855
13,9.75903
13.016667,9.75942
13.033333,9.75933
13.05,9.75927
13.066667,9.75916
13.083333,9.75921
13.1,9.75922
13.116667,9.75909
13.133333,9.75893
13.15,9.75891
13.166667,9.75878
13.183333,9.7586
13.2,9.75838
13.216667,9.75803
13.233333,9.75781
13.25,9.75806
13.266667,9.75849
13.283333,9.75868
13.3,9.75886
13.316667,9.75898
13.333333,9.7591
13.35,9.7595
13.366667,9.7598
13.383333,9.75973
13.4,9.75991
13.416667,9.7601
13.433333,9.76081
13.45,9.76149
13.466667,9.76165
13.483333,9.76201
13.5,9.76417
13.516667,9.77254
13.533333,9.76586
13.55,9.70967
13.566667,9.61644
13.583333,9.48376
13.6,9.34302
13.616667,9.2411
13.633333,9.18427
13.65,9.17072
13.666667,9.17764
13.683333,9.20005
13.7,9.23261
13.716667,9.27119
